,index,activity,location,sex,year,injury,case_number,time,age,type,area,country,fatal_y_n,species,index_original
164,185,"Refused permission to cross on the ferry, he was swimming across the river","Ross River, Townsville",M,1937,"FATAL, left arm severed at elbow, right arm bitten, right leg severed at knee",1937.06.15,Unknown,33.0,Unprovoked,Queensland,AUSTRALIA,Y,unknown,185
165,186,Fishing,"Off Ben Buckler, near Sydney",M,1935,"No injury, sleeve ripped",1935.03.02,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,tiger,186
166,188,Diving for trochus  from dinghy when seized by shark 6' below the surface,"Barrow Point, 100 miles north of Cooktown, Queensland",M,1933,"Injuries to arm, shoulder & chest, took 2 days to reach hospital",1933.04.10,Unknown,,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,188
167,189,Fishing with dynamite,Calliope River,M,1932,Foot bitten,1932.04.16.a,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,189
168,190,Swimming,"Vedado Baths, Miramar, Havana",M,1931,FATAL  (Wire netting installed at local beaches after this incident.),1931.09.21.a,Unknown,18,Unprovoked,Havana Province,CUBA,Y,unknown,190
169,191,Swimming,"Palm Beach Inlet, Palm Beach County",M,1930,Lacerations to foot & ankle,1930.08.31,Morning,,Unprovoked,Florida,USA,N,unknown,191
170,192,,"Salt Vlei, Port Alfred",F,1928,Leg lacerated,1928.01.21.b,Unknown,,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,192
171,193,Swimming,"South Beach, Durban",M,1924,FATAL,1924.02.13,Unknown,22.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,193
172,194,Swimming,"Woodcliff Channel, Freeport, Long Island",M,1920,Thought to have been taken by a shark. Body was not recovered,1920.11.22,Unknown,30.0,Invalid,New York,USA,U,unknown,194
173,195,Floating face down,Zwartkops River,F,1920,Abdomen bitten,1920.03.08,Evening,18.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,195
174,196,Swimming,Newcastle Beach,M,1919,"Multiple injuries, left leg surgically amputated at knee",1919.04.06,Evening,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,196
175,197,,,M,1917,Leg bitten,1917.09.09,Unknown,,Unprovoked,Mississippi,USA,N,unknown,197
176,198,,"St. Augustine, St Johns County",M,1915,Laceration to left leg,1915.11.10,Unknown,,Unprovoked,Florida,USA,N,unknown,198
177,199,Bathing,Savo,M,1912,FATAL,1912.08.30,Unknown,,Unprovoked,Central Province,SOLOMON ISLANDS,Y,unknown,199
178,200,Fell overboard from steamship Rio Grande,Off Charleston,M,1911,FATAL,1912.00.00,Unknown,,Unprovoked,South Carolina,USA,Y,unknown,200
179,201,Jumped overboard to rescue companion,Galveston Ship Channel,M,1911,FATAL,1911.10.26,Morning,,Unprovoked,Texas,USA,Y,unknown,201
180,202,"Unknown, their unoccupied yawlboat was recovered","Off Fort Gaines, Dauphin Island, Mobile County",M,1910,Presumed drowned & bodies taken by sharks,1910.06.25.R,Unknown,,Invalid,Alabama,USA,U,unknown,202
181,203,Bathing,"Merewether Beach, near Newcastle",M,1907,Lacerations to left arm from shoulder to wrist,1907.10.16.R,Morning,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,203
182,204,Fishing,"Ocracoke, Hyde County",M,1905,FATAL,1905.07.25.R,Unknown,,Unprovoked,North Carolina,USA,Y,unknown,204
183,205,Bathing,Lismore,M,1905,Righ thigh severely bitten,1905.05.22,Morning,40,Unprovoked,New South Wales,AUSTRALIA,N,unknown,205
184,206,Swimming,Ancona,M,1904,FATAL x 4. Afterwards metal mesh nets were installed,1904.07.28,Unknown,,Unprovoked,Ancona Province,ITALY,Y,unknown,206
185,207,Floating,"Waikiki Beach, Oahu",M,1900,Bathing suit torn & imprints of the shark's teeth on his body,1900.09.15,Unknown,,Unprovoked,Hawaii,USA,N,unknown,207
186,208,Fell into the water,Tingalpa Creek,M,1899,bite to lower leg,1900.00.00.b,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,208
187,209,Boat accident,Preservation Inlet,M,1895,FATAL       Thigh bitten,1895.06.03.R,Unknown,,Unprovoked,South Island,NEW ZEALAND,Y,unknown,209
188,210,Swimming after falling overboard from the sealing ship Vesper,,M,1893,"One leg severed by the shark, the other surgically amputated",1893.05.23.R,Unknown,,Unprovoked,,SOUTH ATLANTIC OCEAN,N,unknown,210
189,211,Attempting to rescue shipmate,Fort de France,M,1891,Injured,1891.12.31.R,Unknown,,Unprovoked,,MARTINIQUE,N,unknown,211
190,212,Swimming,"Lampton Harbour, Wellington",M,1890,FATAL,1890.00.00.d,Unknown,,Unprovoked,North Island,NEW ZEALAND,Y,unknown,212
191,213,Bathing,Cape Vidal,M,1890,"FATAL, leg bitten, foot partly severed",1890.00.00.c,Unknown,,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,213
192,214,,Patras,,1889,"Human remains found in 4m, 900 kg shark",1890.00.00.b,Unknown,,Invalid,Northern Peloponnese,GREECE,U,unknown,214
193,215,Cleaning the side of a ship,Freetown,M,1889,FATAL,1889.07.08,Unknown,,Unprovoked,Western Area,SIERRA LEONE,Y,unknown,215
194,216,Working on the bridge when he fell into the river,"Hawkesbury Bridge, Sydney",M,1888,FATAL,1888.12.25.R,Unknown,,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,216
195,217,Fell overboard,Millers Point,M,1882,Laceration to calf,1882.11.12.a,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,217
196,218,Bathing,Cooranbong,F,1880,Lacerations to leg,1880.05.02.a,Unknown,13,Unprovoked,New South Wales,AUSTRALIA,N,unknown,218
197,219,Bathing,"Lane Cove River, Sydney Harbor",M,1878,Laceration to leg,1879.03.10,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,219
198,220,Fleet of canoes caught by a squall and charged by sharks.,Between Nanumea & Nanumaga Atolls,,1874,"2 people out of +70 survived, one of whom was bitten by sharks",1874.06.00,Unknown,,Sea Disaster,,TUVALU,Y,unknown,220
199,221,Swimming to avoid capture,,M,1872,FATAL,1873.01.09.R,Unknown,,Unprovoked,,INDIAN OCEAN?,Y,unknown,221
200,223,Fell overboard,,M,1863,FATAL,1863.00.00.R4,Unknown,,Unprovoked,,CEYLON,Y,unknown,223
201,225,Fell overboard,Coalcliff,M,1852,FATAL,1852.12.19,Unknown,,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,225
202,226,Bathing,Vera Cruz,M,1845,FATAL,1846.08.20.R,Unknown,,Unprovoked,Vera Cruz,MEXICO,Y,unknown,226
203,227,Fell overboard,"Pensacola Bay, Escambia County",M,1845,FATAL,1845.09.16.R,Unknown,,Unprovoked,Florida,USA,Y,unknown,227
204,228,Swimming,Tombo Island in the Sierra Leone River,M,1827,Davis' leg was severed,1828.00.00,Unknown,,Unprovoked,Western Area,SIERRA LEONE,N,unknown,228
205,229,,Archeological site,M,1000,FATAL,518.04.00.R,Unknown,29,Unprovoked,Puerto Rico,USA,Y,tiger,229
206,230,Surfing,"Lost Tree Village, Palm Beach County",M,,Legs bitten,ND-0124,Unknown,,Unprovoked,Florida,USA,N,unknown,230
207,231,Wreck of  large double sailing canoe,,,,"FATAL, 18 people  were killed by sharks, 2 survived",ND.0017,Unknown,,Unprovoked,Moala Island,FIJI,Y,unknown,231
208,232,Wading,Durban,M,,"FATAL, leg stripped of flesh",ND.0014,Unknown,,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,232
209,233,Pearl diving,,M,,FATAL,ND.0006,Unknown,,Unprovoked,Western Australia,AUSTRALIA,Y,unknown,233
210,234,Fishing,Lady Musgrave Island,M,2023,Minor injury to chest,"2023.02,04",Unknown,8,Unprovoked,Queensland,AUSTRALIA,N,unknown,234
211,235,Surfing,Avoca,M,2022,Puncture wounds to right hand & forearm,2022.09.06,Morning,14.0,Unprovoked,New South Wales,AUSTRALIA,N,bronze whaler,235
212,236,Jumped into water,"Summerland Key, Monroe County",M,2022,Laceration to leg,2022.06.30.a,Unknown,,Unprovoked,Florida,USA,N,unknown,236
213,237,Feeding sharks & stingrays,Tutle Back Zoo,F,2022,Finger nipped by captive shark PROVOKED INCIDENT,2022.04.12,Unknown,12.0,Provoked,New Jersey,USA,N,unknown,237
214,238,Surfing,Taranaki,M,2021,Fingers lacerated,2021.11.06,Unknown,26.0,Unprovoked,North Island,NEW ZEALAND,N,unknown,238
215,239,Surfing,Rottnest Island,M,2021,"No injury, knocked off board by shark",2021.07.23,Unknown,,Unprovoked,Western Australia,AUSTRALIA,N,unknown,239
216,240,Jackass Team's publicity stunt for Discovery Channel's Shark Week 2021,,M,2021,Lacerations to right hand  PROVOKED INCIDENT,2021.07.15,Unknown,,Provoked,,BAHAMAS,N,unknown,240
217,241,Parasailing,,M,2021,Foot bitten,2021.06.27,Unknown,36.0,Unprovoked,Aqaba,JORDAN,N,unknown,241
218,242,Paddle boarding,Yallingup,M,2021,"No injury, board bitten",2021.03.25.a,Unknown,75.0,Unprovoked,Western Australia,AUSTRALIA,N,blacktip,242
219,243,Swimming,Blackwall Reach,M,2021,Severe injury to leg and broken him,2021.01.21,Morning,54.0,Unprovoked,Western Australia,AUSTRALIA,N,bull,243
220,244,Wading,"Cocoa Beach, Brevard  County",F,2020,Right leg bitten,2020.07.23.a,Unknown,12.0,Unprovoked,Florida,USA,N,unknown,244
221,245,Playing,"Famara Beach, Lanzarote",M,2020,Lacerations to both feet,2020.05.30,Unknown,9.0,Unprovoked,Canary Islands,SPAIN,N,unknown,245
222,247,Spearfishing,"Burns Beach, Perth",M,2019,"No injury, shark bit swim fin",2019.09.18,Morning,,Unprovoked,Western Australia,AUSTRALIA,N,unknown,247
223,248,Scuba diving,Beqa,M,2019,Laceration to head and shark bit diver's tank,2019.05.25.a,Unknown,,Unprovoked,,FIJI,N,tiger,248
224,249,Swimming,"Cid Harbor, Whitsundays",M,2018,FATAL,2018.11.09,Evening,33.0,Unprovoked,Queensland,AUSTRALIA,Y,unknown,249
225,250,Fishing,Humboldt County,M,2018,"No injury, shark nicked kayak",2018.09.29,Unknown,55.0,Watercraft,California,USA,N,unknown,250
226,251,Swimming,"Longnook Beach, Truro, Barnstable County",M,2018,"Lacerations to leg, hip and hand",2018.08.15.c,Unknown,61.0,Unprovoked,Massachusetts,USA,N,unknown,251
227,252,Wading,"Trinidad Beach, Huboldt County",F,2018,Surf washed the dying shark against her foot PROVOKED INCIDENT,2018.07.16.R,Unknown,58.0,Provoked,California,USA,N,unknown,252
228,253,Surf-skiing,"Robberg Beach, Plettenberg Bay",M,2018,"No injury, shark bit hole in ski",2018.04.24,Morning,33.0,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,253
229,254,Surfing,Nirvana Beach,M,2018,No Injury. Shark swam away with the surf board,2018.04.15.b,Morning,,Unprovoked,New Providence,BAHAMAS,N,tiger,254
230,255,Spearfishing,"Avalon Point, Manurah",M,2018,No injury no attack. This is considerd an encounter,2018.02.11,Unknown,14.0,Invalid,Western Australia,AUSTRALIA,N,unknown,255
231,256,Kayaking / Fishing,Normanville,F,2017,Minor injuries,2017.10.23.b,Unknown,15.0,Unprovoked,South Australia,AUSTRALIA,N,unknown,256
232,257,Fishing,Esperance,,2017,"sharks rammed boats, no injury to occupants",2017.09.15.b,Unknown,,Watercraft,Westerm Australia,AUSTRALIA,N,unknown,257
233,258,Spearfishing,"Middle Sambo Reef off Boca Chica, Monroe County",M,2017,Laceration to shin,2017.06.10.a,Unknown,,Unprovoked,Florida,USA,N,unknown,258
234,259,Surfing,Kelpies near Wylie Bay,F,2017,FATAL,2017.04.20,Unknown,17.0,Unprovoked,Western Australia,AUSTRALIA,Y,unknown,259
235,260,Scuba Diving,,M,2017,Lacerations to upper right arm,2017.02.06.a,Unknown,37.0,Unprovoked,Bimini,BAHAMAS,N,reef,260
236,261,,Jensen Beach,M,2017,Minor injury to hand,2017.01.21,Morning,,Unprovoked,Florida,USA,N,unknown,261
237,262,Wading,"Ponte Vedra, St. Johns County",M,2016,Minor injury to ankle,2016.08.29.a,Unknown,49.0,Unprovoked,Florida,USA,N,unknown,262
238,263,Swimming,Arenales del Sol,M,2016,Lacerations to right hand,2016.08.06,Morning,40.0,Unprovoked,Alicante Province,SPAIN,N,blue,263
239,264,Swimming,"St. Petersburg, Pinellas County",F,2016,Lacerations and puncture wounds to foot and ankle,2016.05.29.a,Evening,22.0,Unprovoked,Florida,USA,N,bull,264
240,265,Surf-skiing,"Robberg Beach, Plettenberg Bay",M,2016,"No injury, surf-ski bitten",2016.04.25,Morning,,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,265
241,266,Spearfishing,Makemo Atoll,M,2016,Laceration to knee by speared shark PROVOKED INCIDENT,2016.04.22,Morning,22.0,Provoked,Tuamotos,FRENCH POLYNESIA,N,reef,266
242,267,Wading,"Bavaro Beach, Punta Cana",F,2016,Avulsion injury to lower leg,2016.02.22,Unknown,,Unprovoked,Altagracia Province,DOMINICAN REPUBLIC,N,unknown,267
243,268,Surfing,"Paradise Beach, Melbourne, Brevard County",F,2015,Lower left leg injured,2015.11.15.a,Morning,9.0,Invalid,Florida,USA,U,unknown,268
244,269,Surfing,"Jacksonville Beach, Duval County",M,2015,Injury to right foot,2015.09.19,Unknown,20.0,Unprovoked,Florida,USA,N,unknown,269
245,270,Spearfishing,,M,2015,Leg bitten,2015.09.03,Unknown,,Unprovoked,,FIJI,N,tiger,270
246,271,Playing in the water,"Isle of Palms County Park, Isle of Palms, Charleston County",M,2015,Shallow lacerations & puncture to lateral left leg,2015.07.01,Evening,12,Unprovoked,South Carolina,USA,N,unknown,271
247,272,Surfing,"Lookout Beach, Plettenberg Bay",M,2015,Multiple lacerations to torso & leg,2015.06.27.a,Unknown,23,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,272
248,273,Stand-Up Paddleboarding,"Kihei, Maui",F,2014,"No injury, paddleboard bitten",2014.10.31,Morning,,Unprovoked,Hawaii,USA,N,tiger,273
249,274,Fishing,"Cherie Down Park, Brevard County",F,2014,Thigh bitten,2014.10.11,Unknown,40,Unprovoked,Florida,USA,N,unknown,274
250,275,Swimming,"Lake Ponchartain off Southshore Harbor, New Orleans",M,2014,Minor lacerations to left heel and big toe,2014.08.09.R,Unknown,7,Unprovoked,Louisiana,USA,N,bull,275
251,276,Spearfishing / Free diving,"Goldsmith Beach, Yorke Peninsula",M,2014,FATAL,2014.02.20,Morning,28,Unprovoked,South Australia,AUSTRALIA,Y,unknown,276
252,277,Swimming,"Butler Beach, St Augustine,       St. Johns County",M,2013,4 cuts to posterior calf,2013.07.22,Unknown,teen,Unprovoked,Florida,USA,N,unknown,277
253,278,Fishing,,M,2013,Right thigh bitten,2013.07.09,Unknown,,Unprovoked,Taitung,TAIWAN,N,unknown,278
254,279,Surfing,Target Beach,M,2013,"No injury, board damaged",2013.06.14.R,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,279
255,280,Surfing,Trigg Beach,M,2012,No injury,2012.12.28,Morning,32,Unprovoked,Western Australia,AUSTRALIA,N,tiger,280
256,281,Surfing,"Spanish House Beach, Brevard County",M,2012,Left foot bitten,2012.10.02,Unknown,22,Unprovoked,Florida,USA,N,unknown,281
257,282,Surfing,"New Smyrna Beach, Volusia County",,2012,Minor injury to elbow,2012.09.16,Unknown,19,Unprovoked,Florida,USA,N,unknown,282
258,283,Swimming,"Coral Cove, Cabo de Santo Agostinho",M,2012,FATAL,2012.08.31,Unknown,18,Unprovoked,Pernambuco,BRAZIL,Y,unknown,283
259,284,Surfing,,M,2012,FATAL,2012.07.30.a,Unknown,22,Unprovoked,Trois-Bassins,REUNION,Y,unknown,284
260,285,Swimming,"Myrtle Beach, Horry County",F,2012,Foot & hand bitten,2012.06.18,Unknown,18,Unprovoked,South Carolina,USA,N,blacktip,285
261,286,Fishing,Broughton Island,M,2012,Laceration to left foot,2012.03.01,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,nurse,286
262,287,Surfing,Cape Canaveral,M,2011,Foot bitten,2011.10.20,Unknown,,Unprovoked,Florida,USA,N,unknown,287
263,288,Surfing,"New Smyrna Beach, Volusia County",M,2011,Lacerations to ankle & foot,2011.09.04.b,Morning,19,Unprovoked,Florida,USA,N,unknown,288
264,289,Swimming,Fantome Island,M,2011,FATAL,2011.09.02,Evening,48,Invalid,Queensland,AUSTRALIA,Y,unknown,289
265,290,Kayaking,"Libertad, San Onofre",M,2011,"Right arm bitten, defense wounds to left hand",2011.07.07.a,Morning,17,Unprovoked,Sucre,COLUMBIA,N,unknown,290
266,291,Spearfishing,Albuquerque Cay,M,2011,Injuries to right hand and forearm,2011.06.14.R,Unknown,24,Unprovoked,San Andrés archipelago,COLUMBIA,N,unknown,291
267,292,Diving,"Malake Island, Ra Province",M,2011,Minor injuries to left leg and hand,2011.04.16,Unknown,27,Unprovoked,Vitu Levu,FIJI,N,unknown,292
268,293,Swimming,,M,2011,Right foot bitten,2011.03.24,Unknown,46,Unprovoked,Quintana Roo,MEXICO,N,unknown,293
269,294,Kite Surfing,Wedge Island,M,2010,Lacerations to lower right leg,2010.10.25,Unknown,14,Unprovoked,Western Australia,AUSTRALIA,N,unknown,294
270,295,Swimming,"St. Augustine, St. John's County",M,2010,Lacerations to left wrist,2010.09.21,Unknown,27,Unprovoked,Florida,USA,N,unknown,295
271,296,Kayak Fishing,"Pigeon Point, San Mateo County",M,2010,"No injury, kayak bitten",2010.08.18,Unknown,45,Watercraft,California,USA,N,unknown,296
272,297,,Quy Nhon,F,2010,Minor injuries,2010.01.12,Unknown,,Unprovoked,Binh Dinh Province,VIETNAM,N,unknown,297
273,298,Body boarding,Alkantstrand,M,2009,"No injury, shark bit bodyboard",2009.08.29,Unknown,,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,298
274,299,Surfing,Kawa'a,M,2009,"No injury, surfboard bitten",2009.08.11,Morning,,Unprovoked,Hawaii,USA,N,tiger,299
275,300,Boogie Boarding,"Daytona Beach, Volusia County",F,2009,Right ankle bitten,2009.07.11.a,Unknown,12,Unprovoked,Florida,USA,N,unknown,300
276,301,Surfing,"Second Beach, Port St. John's",M,2009,FATAL,2009.04.03,Unknown,16,Unprovoked,Eastern Cape Province,SOUTH AFRICA,Y,unknown,301
277,302,Spearfishing,Guantanamo,,2009,Lacerations to right calf,2009.01.10.a,Unknown,,Unprovoked,Guantanamo Province,CUBA,N,bull,302
278,303,Swimming or surfing,Playa Teta,M,2008,5 lacerations to left foot,2008.07.30.R,Evening,,Unprovoked,San Carlos,PANAMA,N,unknown,303
279,304,Body boarding,"Lighthouse Beach, Ballina",M,2008,FATAL,2008.03.25,Morning,16,Unprovoked,New South Wales,AUSTRALIA,Y,bull,304
280,305,Surfing,Kaikoura,F,2007,"No injury, shark bit surfboard & severed leash",2007.12.14,Unknown,,Unprovoked,South Island,NEW ZEALAND,N,unknown,305
281,306,Spearfishing,Sweetings Cay,F,2007,Thigh bitten,2007.09.30.b,Morning,48,Unprovoked,Grand Bahama Island,BAHAMAS,N,reef,306
282,307,Swimming,Daedalus Reef,F,2007,"Severe lacerations to lower left leg, ankle and foot",2007.09.28,Morning,18 or 20,Unprovoked,Red Sea,EGYPT,N,unknown,307
283,308,Surfing,"Flagler Beach, Flagler County",F,2007,"No injury, surfboard bitten",2007.09.17,Morning,Teen,Unprovoked,Florida,USA,N,unknown,308
284,309,Surfing,"New Smyrna Beach, Volusia County",M,2007,Left hand  bitten,2007.08.28.b,Unknown,54,Unprovoked,Florida,USA,N,unknown,309
285,311,Playing soccer in the water,"New Smyrna Beach, Volusia County",M,2006,Lacerations to foot,2006.10.10,Morning,18,Unprovoked,Florida,USA,N,unknown,311
286,312,Wading,"Marco Island, Collier County",M,2006,Minor injury to right hand & thigh,2006.04.09.b,Unknown,11,Unprovoked,Florida,USA,N,unknown,312
287,313,Surfing,"Bondi, Sydney",M,2006,"No injury, shark nudged surfboard",2006.03.22,Unknown,15,Unprovoked,New South Wales,AUSTRALIA,N,bronze whaler,313
288,315,Surfing,San Luis beach,M,2005,Left foot bitten,2005.06.25,Morning,,Unprovoked,Baja California,MEXICO,N,unknown,315
289,316,Swimming,Maui,M,2005,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",2005.06.22,Morning,49,Invalid,Hawaii,USA,U,unknown,316
290,317,Fishing from a kayak,Taupiri Bay,M,2005,"No injury, kayak bumped repeatedly",2005.01.19,Morning,39,Watercraft,North Island,NEW ZEALAND,N,unknown,317
291,318,Fishing,Park Rynie,,2004,No injury to occupants; boat damaged,2004.08.06,Unknown,,Watercraft,KwaZulu-Natal,SOUTH AFRICA,N,unknown,318
292,319,Surfing,"West Beach, Port Alfred",M,2004,Foot lacerated,2004.01.15.R,Unknown,22.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,raggedtooth,319
293,321,Body boarding,Near the wreck of the Kakapo off Noordhoek Beach,M,2003,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten",2003.09.13.b,Unknown,19.0,Unprovoked,Western Cape Province,SOUTH AFRICA,Y,unknown,321
294,322,,Limay,,2003,Arm severed,2003.05.07,Unknown,,Unprovoked,Baatan,PHILIPPINES,N,unknown,322
295,323,Swimming,"Coogee Bay, near Sydney",M,2003,"Puncture wounds on heel, legs and buttocks",2003.02.15.b,Unknown,24.0,Unprovoked,New South Wales,AUSTRALIA,N,nurse,323
296,324,Surfing,Left break at the ‘Hot Spot’ at Sheringa Beach,F,2003,"No injury, but her surfboard was bitten",2003.01.17,Unknown,N/A,Unprovoked,Western Australia,AUSTRALIA,N,bronze whaler,324
297,325,Scuba diving,"Pision Reef, Truk",M,2002,Minor injury to right calf,2002.12.16,Unknown,,Unprovoked,Caroline Islands,MICRONESIA,N,blacktip,325
298,326,Playing in the surf with his 2 dogs,"Atlantic Avenue, Palm Beach County",M,2002,"2-inch wound on dorsum of right foot, 1-inch wound on sole",2002.05.31.a,Morning,35,Unprovoked,Florida,USA,N,unknown,326
299,327,,"Isle of Palms, Charleston County",,2001,Hand bitten,2001.07.06.b,Unknown,,Unprovoked,South Carolina,USA,N,unknown,327
300,328,Swimming,"South Beach, Sebastian, Indian River County",M,2000,Right hand lacerated,2000.10.20,Unknown,69.0,Unprovoked,Florida,USA,N,unknown,328
301,329,Feeding prawns to captive sharks,The Fountain Pub in Tenbury Wells,M,2000,Fingers bitten PROVOKED INCIDENT,2000.02.21,Unknown,,Provoked,Worcestershire,ENGLAND,N,blacktip,329
302,330,Body surfing,"Gulfstream Park beach, Palm Beach County",M,1999,Shark bit 8 chunk from swim fin,1999.11.00.a,Unknown,13,Unprovoked,Florida,USA,N,unknown,330
303,331,Body surfing,"New Smyrna Beach, Volusia County",M,1999,Right ankle & heel  lacerated,1999.08.21,Morning,62.0,Unprovoked,Florida,USA,N,unknown,331
304,332,Surfing,Hole-in-the Wall,M,1998,FATAL,1998.01.17,Unknown,28,Unprovoked,Eastern Cape Province,SOUTH AFRICA,Y,unknown,332
305,333,Scuba diving,Whitsunday Passage,M,1997,Left arm bitten,1997.04.20,Midday,30,Unprovoked,Queensland,AUSTRALIA,N,tiger,333
306,334,Surfing,"Duck Pond, Sardina Bay near Port Elizabeth",M,1996,Elbow bitten,1997.01.01,Unknown,,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,334
307,335,Diving,,M,1996,Left leg lacerated,1996.07.10,Unknown,24.0,Unprovoked,Cat Cay,BAHAMAS,N,unknown,335
308,336,Wading,"Daytona Beach, Volusia County",M,1995,Thigh lacerated,1995.08.21,Morning,20.0,Unprovoked,Florida,USA,N,unknown,336
309,337,Surfing,Port Aransas,M,1995,Foot bitten,1995.07.07,Unknown,34,Unprovoked,Texas,USA,N,unknown,337
310,338,,"New Smyrna Beach, Volusia County",M,1995,"Dorsum of right hand bitten, a probable bluefish bite",1995.05.18,Morning,12,Invalid,Florida,USA,U,unknown,338
311,339,Swimming,"Praia do Olho D'Água, São Luis",,1995,FATAL,1995.03.21,Unknown,,Unprovoked,Maranhão,BRAZIL,Y,unknown,339
312,340,"Surfing, paddling seawards","Off the Hanalei River, Kaua'i",F,1994,Right thigh & board bitten,1994.12.01,Morning,34.0,Unprovoked,Hawaii,USA,N,unknown,340
313,341,Surfing,"Kealia Beach, Kaua'i",,1994,"No injury, shark bit surfboard",1994.11.25.a,Unknown,,Unprovoked,Hawaii,USA,N,unknown,341
314,342,Surfing,"Nahoon Beach, East London",M,1994,"FATAL, leg severed",1994.07.09.d,Unknown,22.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,Y,unknown,342
315,343,Spearfishing,"Matinella Reef, 15 to 20 miles west of Walkers Cay",M,1993,Leg bitten,1993.09.09,Evening,51,Unprovoked,Walkers Cay,BAHAMAS,N,blacktip,343
316,344,Surfing,"Pollock Beach, Port Elizabeth",M,1993,Puncture wounds on chest,1993.08.00.b,Unknown,28.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,344
317,345,Swimming,"Hamstead, Pender County",F,1993,"No injury, bumped by shark",1993.06.05,Evening,60's,Unprovoked,North Carolina,USA,N,unknown,345
318,346,Spearfishing,"Line Reef, northeast of Hamilton Island, Whitsundays",M,1993,6 laceration to left forearm,1993.02.04,Morning,21,Unprovoked,Queensland,AUSTRALIA,N,unknown,346
319,347,Swimming,"Myrtle Beach, Horry County",M,1991,Deep cuts on lower leg,1991.09.08,Unknown,23.0,Unprovoked,South Carolina,USA,N,sand,347
320,348,Surfing,"Ravine des Sables, Saint Leu",M,1991,Left arm severed,1991.07.17,Evening,30,Unprovoked,L'Etang-Salé,REUNION,N,tiger,348
321,349,Surfing,"Jacksonville Beach, Duval County",M,1991,Hand bitten,1991.06.29,Evening,18,Unprovoked,Florida,USA,N,unknown,349
322,350,"Surfing, collided with shark","South of Ponce Inlet, New Smyrna Beach, Volusia County",M,1991,Right thigh,1991.04.24,Morning,22.0,Unprovoked,Florida,USA,N,unknown,350
323,351,Spearfishing,Bimini,M,1990,Left forearm bitten,1990.07.08,Unknown,38,Unprovoked,,BAHAMAS,N,unknown,351
324,352,Snorkeling,Outer Barrier Reef near Port Douglas,F,1990,Lacerations,1990.06.23,Unknown,30s,Unprovoked,Queensland,AUSTRALIA,N,hammerhead,352
325,353,Scuba diving & spearfishing,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",M,1990,Right arm severed  FATAL,1990.03.24,Unknown,,Unprovoked,Hawaii,USA,Y,unknown,353
326,354,,Gove Peninsula near Darwin,M,1989,"No details, recovering in Darwin Hospital",1990.00.00,Unknown,17,Unprovoked,Northern Territory,AUSTRALIA,U,tiger,354
327,355,Fishing for sharks,Moreton Bay,M,1989,Laceration to arm  PROVOKED INCIDENT,1989.08.13,Unknown,41,Provoked,Queensland,AUSTRALIA,N,unknown,355
328,356,Playing,"Sargent Beach, Matagorda County",F,1989,Leg bitten,1989.07.19,Unknown,9,Unprovoked,Texas,USA,N,unknown,356
329,357,Shell diving,,F,1988,FATAL,1988.06.05,Unknown,38,Unprovoked,,SOUTH KOREA,Y,unknown,357
330,360,Surfing,"Stuart Beach, Martin County",M,1983,Puncture marks in leg & surfboard dinged,1983.11.10.R,Unknown,16,Unprovoked,Florida,USA,N,unknown,360
331,361,Skindiving,"Riviera Beach, Palm Beach County",M,1983,Hand abraded when he grabbed shark's tail PROVOKED INCIDENT,1983.08.20.a,Unknown,14,Provoked,Florida,USA,N,nurse,361
332,362,Swimming from the New Venture,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",F,1983,"FATAL, shark seized her by the chest and took her underwater",1983.08.13.a,Unknown,21.0,Sea Disaster,Queensland,AUSTRALIA,Y,tiger,362
